# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeTotalNS,1775718010793000000,1775718070813000000,5485495903
FlushQueue.queueSize90P,1775718010793000000,1775718070813000000,30
FlushQueue.waitingTime90PNs,1775718010793000000,1775718070813000000,63438847
AWTEventQueue.dispatchTime90PNs,1775718010793000000,1775718070813000000,704511
AWTEventQueue.dispatchTimeAvgNs,1775718010793000000,1775718070813000000,1080459.2608353035
AWTEventQueue.eventsDispatched,1775718010793000000,1775718070813000000,5076
NonBlockingReadAction.failedExecutionTimeUs,1775718010793000000,1775718070813000000,9555
NonBlockingReadAction.finalizedExecutionTimeUs,1775718010793000000,1775718070813000000,3939751
AWTEventQueue.dispatchTimeMaxNs,1775718010793000000,1775718070813000000,985661439
FlushQueue.executionTimeMaxNs,1775718010793000000,1775718070813000000,2566914047
FlushQueue.waitingTimeMaxNs,1775718010793000000,1775718070813000000,964689919
FlushQueue.executionTime90PNs,1775718010793000000,1775718070813000000,712703
NonBlockingReadAction.failedExecutionsCount,1775718010793000000,1775718070813000000,1
FlushQueue.executionTimeAvgNs,1775718010793000000,1775718070813000000,3132457.7962340284
NonBlockingReadAction.finalizedExecutionsCount,1775718010793000000,1775718070813000000,336
FlushQueue.queueSizeMax,1775718010793000000,1775718070813000000,60
FlushQueue.queueSizeAvg,1775718010793000000,1775718070813000000,7.882985877605918
FlushQueue.tasksExecuted,1775718010793000000,1775718070813000000,1487
FlushQueue.waitingTimeAvgNs,1775718010793000000,1775718070813000000,2.3117867036987223E7
jps.load.project.to.empty.storage.ms,1775718010793000000,1775718070813000000,23
jps.modifiable.module.model.bridge.disposing.ms,1775718010793000000,1775718070813000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775718010793000000,1775718070813000000,0
jps.global.initialize.library.bridges.ms,1775718010793000000,1775718070813000000,0
jps.artifact.entities.serializer.save.entities.ms,1775718010793000000,1775718070813000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775718010793000000,1775718070813000000,11
workspaceModel.global.updates.count,1775718010793000000,1775718070813000000,0
workspaceModel.mutableEntityStorage.entities.ms,1775718010793000000,1775718070813000000,2
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775718010793000000,1775718070813000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1775718010793000000,1775718070813000000,0
workspaceModel.sync.entities.ms,1775718010793000000,1775718070813000000,0
workspaceModel.moduleBridge.update.option.ms,1775718010793000000,1775718070813000000,0
jps.global.handle.before.change.events.ms,1775718010793000000,1775718070813000000,0
jps.library.entities.serializer.load.entities.ms,1775718010793000000,1775718070813000000,0
